Sample Index,Sum of Correlation
20,16.0050285897988
17,15.8219139131929
16,15.6988596795103
10,15.6655727773974
15,15.6524539263904
19,15.6402829403159
3,15.4775038619418
4,15.3654525323146
12,15.2574415330144
6,15.2484724793843
11,15.1123034175356
9,14.986841155228
13,14.9357206630839
5,14.9297785286921
8,14.5522286043263
14,14.5344078416345
7,14.4623646246293
1,14.335255582617
2,14.3181280307533
18,13.7498021217714
