Track_ID,Frame,x,y,z,Amp_Peak_,Background,sigma,Track_Length,tau_fast,nphoton,lt_tau,lt_amp,lt_bg,lt_chi2
7019,6126,14.6374368358112,63.7243266746115,0,12.3068953624958,0.114846941483984,2.2873521654813,2,2.17842700023307,783,1.74967252907794,619.738662946731,9.03689378849553,0.987624534236748
7020,6125,35.7108281876426,42.8123185861016,0,5.70898213328785,0.146554230722448,2.00270814657047,1,2.757528281948,152,1.47426762395517,124.233669122418,5.66637805678068,0.982561600462156
7021,6127,66.6653146288125,61.0556201280622,0,7.99363216161481,0.1419992168603,2.20993446740443,1,3.04585841802001,242,1.76077220968715,193.194714805244,12.140820636424,1.01208856665601
7022,6128,68.1522357662936,62.909668566315,0,6.89141313962379,0.197934334261947,1.92257109581508,1,3.04511147858098,170,1.50934180135199,134.113818852024,9.10197540945436,0.996116006212248
7026,6134,16.2376738816092,62.1992537138167,0,8.12913877673487,0.154351827982072,2.26007055665235,2,3.09297163398775,534,1.80488177541125,414.95103009655,25.7123247106039,0.979847491415866
7026,6135,16.2377735167334,62.1991475221815,0,8.12913877673487,0.154351827982072,2.26007055665235,2,3.09297163398775,534,1.80488177541125,414.95103009655,25.7123247106039,0.979847491415866
7027,6135,30.9800782674371,72.5517008112132,0,3.0492823415916,0.168281541892577,2.2748428693094,2,3.30943809894881,213,1.67432645089343,159.513954025331,11.7001755868455,0.995883679546165
7027,6136,30.9801780217706,72.5515948341548,0,3.0492823415916,0.168281541892577,2.2748428693094,2,3.30943809894881,213,1.67432645089343,159.513954025331,11.7001755868455,0.995883679546165
7028,6136,65.8806379963819,63.4332393125983,0,14.3281170023063,0.13135629979854,2.22543884957662,2,2.65259648811658,873,1.92085434420661,724.866655844888,19.1563770739656,0.974431079780688
7028,6137,65.8807379176083,63.4331335262747,0,14.3281170023063,0.13135629979854,2.22543884957662,2,2.65259648811658,873,1.92085434420661,724.866655844888,19.1563770739656,0.974431079780688
7030,6137,79.1704666709353,87.1521650785926,0,4.28073719011011,0.11425522880576,2.28689586375878,1,2.80700816152013,140,1.47175292215949,125.695389680303,5.51315087324676,0.99858759769599
7032,6139,66.829403951444,62.4209657844735,0,16.9177229663427,0.00333333333333333,2.40599391851511,3,2.18813218341371,1623,1.88329031840545,1365.93019808611,12.5693224222001,0.988119018624441
7032,6140,66.8295043018239,62.4208606061174,0,16.9177229663427,0.00333333333333333,2.40599391851511,3,2.18813218341371,1623,1.88329031840545,1365.93019808611,12.5693224222001,0.988119018624441
